source,heldout,render_condition,class,fault_key,recipe_fr_hz,recipe_fault_rate_hz,render_condition_target_hz,heldout_condition_target_hz,error_vs_render_condition_hz,error_vs_render_condition_pct,error_vs_heldout_hz,error_vs_heldout_pct,abs_error_vs_heldout_pct,path
llm,N09_M07_F10,N15_M01_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,73.94148020654045,0.0,0.0,49.29432013769362,66.66666666666666,66.66666666666666,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N09_M07_F10/llm/N15_M01_F10_IR_0000.json
llm,N09_M07_F10,N15_M01_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,73.94148020654045,0.0,0.0,49.29432013769362,66.66666666666666,66.66666666666666,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N09_M07_F10/llm/N15_M01_F10_IR_0001.json
llm,N09_M07_F10,N15_M01_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N09_M07_F10/llm/N15_M01_F10_OR_0001.json
llm,N09_M07_F10,N15_M01_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N09_M07_F10/llm/N15_M01_F10_OR_0002.json
llm,N09_M07_F10,N15_M07_F04,IR,BPFI,25.0,123.23580034423406,123.23580034423406,73.94148020654045,0.0,0.0,49.29432013769362,66.66666666666666,66.66666666666666,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N09_M07_F10/llm/N15_M07_F04_IR_0000.json
llm,N09_M07_F10,N15_M07_F04,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N09_M07_F10/llm/N15_M07_F04_OR_0002.json
llm,N09_M07_F10,N15_M07_F04,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N09_M07_F10/llm/N15_M07_F04_OR_0003.json
llm,N09_M07_F10,N15_M07_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,73.94148020654045,0.0,0.0,49.29432013769362,66.66666666666666,66.66666666666666,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N09_M07_F10/llm/N15_M07_F10_IR_0001.json
llm,N09_M07_F10,N15_M07_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,73.94148020654045,0.0,0.0,49.29432013769362,66.66666666666666,66.66666666666666,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N09_M07_F10/llm/N15_M07_F10_IR_0002.json
llm,N09_M07_F10,N15_M07_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N09_M07_F10/llm/N15_M07_F10_OR_0000.json
llm,N09_M07_F10,N15_M07_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N09_M07_F10/llm/N15_M07_F10_OR_0001.json
llm,N15_M01_F10,N09_M07_F10,IR,BPFI,15.0,73.94148020654045,73.94148020654045,123.23580034423406,0.0,0.0,-49.29432013769362,-39.99999999999999,39.99999999999999,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M01_F10/llm/N09_M07_F10_IR_0000.json
llm,N15_M01_F10,N09_M07_F10,IR,BPFI,15.0,73.94148020654045,73.94148020654045,123.23580034423406,0.0,0.0,-49.29432013769362,-39.99999999999999,39.99999999999999,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M01_F10/llm/N09_M07_F10_IR_0001.json
llm,N15_M01_F10,N09_M07_F10,OR,BPFO,15.0,46.05851979345955,46.05851979345955,76.76419965576592,0.0,0.0,-30.70567986230637,-40.0,40.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M01_F10/llm/N09_M07_F10_OR_0000.json
llm,N15_M01_F10,N09_M07_F10,OR,BPFO,15.0,46.05851979345955,46.05851979345955,76.76419965576592,0.0,0.0,-30.70567986230637,-40.0,40.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M01_F10/llm/N09_M07_F10_OR_0001.json
llm,N15_M01_F10,N09_M07_F10,OR,BPFO,15.0,46.05851979345955,46.05851979345955,76.76419965576592,0.0,0.0,-30.70567986230637,-40.0,40.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M01_F10/llm/N09_M07_F10_OR_0002.json
llm,N15_M01_F10,N15_M07_F04,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M01_F10/llm/N15_M07_F04_IR_0000.json
llm,N15_M01_F10,N15_M07_F04,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M01_F10/llm/N15_M07_F04_IR_0001.json
llm,N15_M01_F10,N15_M07_F04,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M01_F10/llm/N15_M07_F04_OR_0000.json
llm,N15_M01_F10,N15_M07_F04,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M01_F10/llm/N15_M07_F04_OR_0001.json
llm,N15_M01_F10,N15_M07_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M01_F10/llm/N15_M07_F10_IR_0000.json
llm,N15_M01_F10,N15_M07_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M01_F10/llm/N15_M07_F10_IR_0001.json
llm,N15_M01_F10,N15_M07_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M01_F10/llm/N15_M07_F10_OR_0000.json
llm,N15_M01_F10,N15_M07_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M01_F10/llm/N15_M07_F10_OR_0001.json
llm,N15_M01_F10,N15_M07_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M01_F10/llm/N15_M07_F10_OR_0002.json
llm,N15_M01_F10,N15_M07_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M01_F10/llm/N15_M07_F10_OR_0004.json
llm,N15_M07_F04,N09_M07_F10,IR,BPFI,15.0,73.94148020654045,73.94148020654045,123.23580034423406,0.0,0.0,-49.29432013769362,-39.99999999999999,39.99999999999999,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F04/llm/N09_M07_F10_IR_0000.json
llm,N15_M07_F04,N09_M07_F10,IR,BPFI,15.0,73.94148020654045,73.94148020654045,123.23580034423406,0.0,0.0,-49.29432013769362,-39.99999999999999,39.99999999999999,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F04/llm/N09_M07_F10_IR_0001.json
llm,N15_M07_F04,N09_M07_F10,OR,BPFO,15.0,46.05851979345955,46.05851979345955,76.76419965576592,0.0,0.0,-30.70567986230637,-40.0,40.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F04/llm/N09_M07_F10_OR_0000.json
llm,N15_M07_F04,N09_M07_F10,OR,BPFO,15.0,46.05851979345955,46.05851979345955,76.76419965576592,0.0,0.0,-30.70567986230637,-40.0,40.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F04/llm/N09_M07_F10_OR_0001.json
llm,N15_M07_F04,N15_M01_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F04/llm/N15_M01_F10_IR_0000.json
llm,N15_M07_F04,N15_M01_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F04/llm/N15_M01_F10_OR_0001.json
llm,N15_M07_F04,N15_M07_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F04/llm/N15_M07_F10_IR_0000.json
llm,N15_M07_F04,N15_M07_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F04/llm/N15_M07_F10_IR_0002.json
llm,N15_M07_F04,N15_M07_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F04/llm/N15_M07_F10_OR_0000.json
llm,N15_M07_F04,N15_M07_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F04/llm/N15_M07_F10_OR_0001.json
llm,N15_M07_F10,N09_M07_F10,IR,BPFI,15.0,73.94148020654045,73.94148020654045,123.23580034423406,0.0,0.0,-49.29432013769362,-39.99999999999999,39.99999999999999,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F10/llm/N09_M07_F10_IR_0000.json
llm,N15_M07_F10,N09_M07_F10,IR,BPFI,15.0,73.94148020654045,73.94148020654045,123.23580034423406,0.0,0.0,-49.29432013769362,-39.99999999999999,39.99999999999999,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F10/llm/N09_M07_F10_IR_0001.json
llm,N15_M07_F10,N09_M07_F10,IR,BPFI,15.0,73.94148020654045,73.94148020654045,123.23580034423406,0.0,0.0,-49.29432013769362,-39.99999999999999,39.99999999999999,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F10/llm/N09_M07_F10_IR_0002.json
llm,N15_M07_F10,N09_M07_F10,IR,BPFI,15.0,73.94148020654045,73.94148020654045,123.23580034423406,0.0,0.0,-49.29432013769362,-39.99999999999999,39.99999999999999,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F10/llm/N09_M07_F10_IR_0003.json
llm,N15_M07_F10,N09_M07_F10,OR,BPFO,15.0,46.05851979345955,46.05851979345955,76.76419965576592,0.0,0.0,-30.70567986230637,-40.0,40.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F10/llm/N09_M07_F10_OR_0000.json
llm,N15_M07_F10,N09_M07_F10,OR,BPFO,15.0,46.05851979345955,46.05851979345955,76.76419965576592,0.0,0.0,-30.70567986230637,-40.0,40.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F10/llm/N09_M07_F10_OR_0001.json
llm,N15_M07_F10,N09_M07_F10,OR,BPFO,15.0,46.05851979345955,46.05851979345955,76.76419965576592,0.0,0.0,-30.70567986230637,-40.0,40.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F10/llm/N09_M07_F10_OR_0002.json
llm,N15_M07_F10,N15_M01_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F10/llm/N15_M01_F10_IR_0000.json
llm,N15_M07_F10,N15_M01_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F10/llm/N15_M01_F10_IR_0001.json
llm,N15_M07_F10,N15_M01_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F10/llm/N15_M01_F10_OR_0001.json
llm,N15_M07_F10,N15_M07_F04,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F10/llm/N15_M07_F04_IR_0000.json
llm,N15_M07_F10,N15_M07_F04,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F10/llm/N15_M07_F04_OR_0001.json
llm,N15_M07_F10,N15_M07_F04,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F10/llm/N15_M07_F04_OR_0002.json
llm,N15_M07_F10,N15_M07_F04,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_llm_smoke_2026-07-07_v3/loco_N15_M07_F10/llm/N15_M07_F04_OR_0003.json
rule,N09_M07_F10,N15_M01_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M01_F10_OR_0000.json
rule,N09_M07_F10,N15_M01_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M01_F10_OR_0001.json
rule,N09_M07_F10,N15_M01_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M01_F10_OR_0002.json
rule,N09_M07_F10,N15_M01_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M01_F10_OR_0003.json
rule,N09_M07_F10,N15_M01_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M01_F10_OR_0004.json
rule,N09_M07_F10,N15_M07_F04,IR,BPFI,25.0,123.23580034423406,123.23580034423406,73.94148020654045,0.0,0.0,49.29432013769362,66.66666666666666,66.66666666666666,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M07_F04_IR_0000.json
rule,N09_M07_F10,N15_M07_F04,IR,BPFI,25.0,123.23580034423406,123.23580034423406,73.94148020654045,0.0,0.0,49.29432013769362,66.66666666666666,66.66666666666666,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M07_F04_IR_0001.json
rule,N09_M07_F10,N15_M07_F04,IR,BPFI,25.0,123.23580034423406,123.23580034423406,73.94148020654045,0.0,0.0,49.29432013769362,66.66666666666666,66.66666666666666,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M07_F04_IR_0002.json
rule,N09_M07_F10,N15_M07_F04,IR,BPFI,25.0,123.23580034423406,123.23580034423406,73.94148020654045,0.0,0.0,49.29432013769362,66.66666666666666,66.66666666666666,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M07_F04_IR_0003.json
rule,N09_M07_F10,N15_M07_F04,IR,BPFI,25.0,123.23580034423406,123.23580034423406,73.94148020654045,0.0,0.0,49.29432013769362,66.66666666666666,66.66666666666666,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M07_F04_IR_0004.json
rule,N09_M07_F10,N15_M07_F04,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M07_F04_OR_0000.json
rule,N09_M07_F10,N15_M07_F04,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M07_F04_OR_0001.json
rule,N09_M07_F10,N15_M07_F04,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M07_F04_OR_0002.json
rule,N09_M07_F10,N15_M07_F04,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M07_F04_OR_0003.json
rule,N09_M07_F10,N15_M07_F04,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M07_F04_OR_0004.json
rule,N09_M07_F10,N15_M07_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,73.94148020654045,0.0,0.0,49.29432013769362,66.66666666666666,66.66666666666666,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M07_F10_IR_0001.json
rule,N09_M07_F10,N15_M07_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,73.94148020654045,0.0,0.0,49.29432013769362,66.66666666666666,66.66666666666666,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M07_F10_IR_0002.json
rule,N09_M07_F10,N15_M07_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,73.94148020654045,0.0,0.0,49.29432013769362,66.66666666666666,66.66666666666666,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M07_F10_IR_0003.json
rule,N09_M07_F10,N15_M07_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,73.94148020654045,0.0,0.0,49.29432013769362,66.66666666666666,66.66666666666666,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M07_F10_IR_0004.json
rule,N09_M07_F10,N15_M07_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M07_F10_OR_0000.json
rule,N09_M07_F10,N15_M07_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,46.05851979345955,0.0,0.0,30.70567986230637,66.66666666666667,66.66666666666667,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N09_M07_F10/rule/N15_M07_F10_OR_0004.json
rule,N15_M01_F10,N09_M07_F10,IR,BPFI,15.0,73.94148020654045,73.94148020654045,123.23580034423406,0.0,0.0,-49.29432013769362,-39.99999999999999,39.99999999999999,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N09_M07_F10_IR_0002.json
rule,N15_M01_F10,N09_M07_F10,OR,BPFO,15.0,46.05851979345955,46.05851979345955,76.76419965576592,0.0,0.0,-30.70567986230637,-40.0,40.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N09_M07_F10_OR_0004.json
rule,N15_M01_F10,N15_M07_F04,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N15_M07_F04_IR_0000.json
rule,N15_M01_F10,N15_M07_F04,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N15_M07_F04_IR_0001.json
rule,N15_M01_F10,N15_M07_F04,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N15_M07_F04_IR_0002.json
rule,N15_M01_F10,N15_M07_F04,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N15_M07_F04_IR_0003.json
rule,N15_M01_F10,N15_M07_F04,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N15_M07_F04_IR_0004.json
rule,N15_M01_F10,N15_M07_F04,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N15_M07_F04_OR_0001.json
rule,N15_M01_F10,N15_M07_F04,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N15_M07_F04_OR_0002.json
rule,N15_M01_F10,N15_M07_F04,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N15_M07_F04_OR_0003.json
rule,N15_M01_F10,N15_M07_F04,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N15_M07_F04_OR_0004.json
rule,N15_M01_F10,N15_M07_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N15_M07_F10_IR_0000.json
rule,N15_M01_F10,N15_M07_F10,IR,BPFI,25.0,123.23580034423406,123.23580034423406,123.23580034423406,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N15_M07_F10_IR_0003.json
rule,N15_M01_F10,N15_M07_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N15_M07_F10_OR_0000.json
rule,N15_M01_F10,N15_M07_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N15_M07_F10_OR_0001.json
rule,N15_M01_F10,N15_M07_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N15_M07_F10_OR_0002.json
rule,N15_M01_F10,N15_M07_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N15_M07_F10_OR_0003.json
rule,N15_M01_F10,N15_M07_F10,OR,BPFO,25.0,76.76419965576592,76.76419965576592,76.76419965576592,0.0,0.0,0.0,0.0,0.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M01_F10/rule/N15_M07_F10_OR_0004.json
rule,N15_M07_F04,N09_M07_F10,IR,BPFI,15.0,73.94148020654045,73.94148020654045,123.23580034423406,0.0,0.0,-49.29432013769362,-39.99999999999999,39.99999999999999,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M07_F04/rule/N09_M07_F10_IR_0009.json
rule,N15_M07_F04,N09_M07_F10,OR,BPFO,15.0,46.05851979345955,46.05851979345955,76.76419965576592,0.0,0.0,-30.70567986230637,-40.0,40.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M07_F04/rule/N09_M07_F10_OR_0001.json
rule,N15_M07_F04,N09_M07_F10,OR,BPFO,15.0,46.05851979345955,46.05851979345955,76.76419965576592,0.0,0.0,-30.70567986230637,-40.0,40.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M07_F04/rule/N09_M07_F10_OR_0004.json
rule,N15_M07_F04,N09_M07_F10,OR,BPFO,15.0,46.05851979345955,46.05851979345955,76.76419965576592,0.0,0.0,-30.70567986230637,-40.0,40.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M07_F04/rule/N09_M07_F10_OR_0005.json
rule,N15_M07_F04,N09_M07_F10,OR,BPFO,15.0,46.05851979345955,46.05851979345955,76.76419965576592,0.0,0.0,-30.70567986230637,-40.0,40.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M07_F04/rule/N09_M07_F10_OR_0006.json
rule,N15_M07_F04,N09_M07_F10,OR,BPFO,15.0,46.05851979345955,46.05851979345955,76.76419965576592,0.0,0.0,-30.70567986230637,-40.0,40.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M07_F04/rule/N09_M07_F10_OR_0007.json
rule,N15_M07_F04,N09_M07_F10,OR,BPFO,15.0,46.05851979345955,46.05851979345955,76.76419965576592,0.0,0.0,-30.70567986230637,-40.0,40.0,breeze/runs/pu_loco_nonllm_pools_2026-07-07/loco_N15_M07_F04/rule/N09_M07_F10_OR_0008.json
