method,class,channel,band,real_frac,method_frac,delta
llm,severe,vib_table,70-100,0.287301,0.312996,0.025695
llm,severe,vib_table,100-125,0.013189,0.049006,0.035818
llm,severe,vib_spindle,0-8,0.210732,0.567446,0.356714
llm,severe,vib_spindle,8-20,0.200274,0.134632,-0.065641
llm,severe,vib_spindle,20-40,0.204689,0.057708,-0.146981
llm,severe,vib_spindle,40-70,0.178395,0.088796,-0.089599
llm,severe,vib_spindle,70-100,0.134462,0.067220,-0.067242
llm,severe,vib_spindle,100-125,0.071450,0.084198,0.012748
llm,severe,AE_table,0-8,0.124164,0.128836,0.004672
llm,severe,AE_table,8-20,0.171550,0.166007,-0.005543
llm,severe,AE_table,20-40,0.145076,0.189870,0.044793
llm,severe,AE_table,40-70,0.101338,0.154378,0.053040
llm,severe,AE_table,70-100,0.426352,0.307837,-0.118515
llm,severe,AE_table,100-125,0.031521,0.053073,0.021553
llm,severe,AE_spindle,0-8,0.234738,0.282472,0.047734
llm,severe,AE_spindle,8-20,0.150976,0.162186,0.011209
llm,severe,AE_spindle,20-40,0.150509,0.184544,0.034036
llm,severe,AE_spindle,40-70,0.099786,0.091438,-0.008348
llm,severe,AE_spindle,70-100,0.334079,0.243715,-0.090364
llm,severe,AE_spindle,100-125,0.029911,0.035644,0.005733
rule,sharp,smcAC,0-8,0.010713,0.010632,-0.000081
rule,sharp,smcAC,8-20,0.972054,0.970677,-0.001377
rule,sharp,smcAC,20-40,0.007453,0.006923,-0.000531
rule,sharp,smcAC,40-70,0.003466,0.003968,0.000502
rule,sharp,smcAC,70-100,0.003211,0.003743,0.000533
rule,sharp,smcAC,100-125,0.003103,0.004058,0.000955
rule,sharp,smcDC,0-8,0.841144,0.817574,-0.023570
rule,sharp,smcDC,8-20,0.071300,0.079886,0.008586
rule,sharp,smcDC,20-40,0.056334,0.097672,0.041338
rule,sharp,smcDC,40-70,0.025449,0.002759,-0.022690
rule,sharp,smcDC,70-100,0.005436,0.001304,-0.004132
rule,sharp,smcDC,100-125,0.000338,0.000805,0.000467
rule,sharp,vib_table,0-8,0.027573,0.006720,-0.020853
rule,sharp,vib_table,8-20,0.414325,0.172819,-0.241506
rule,sharp,vib_table,20-40,0.253753,0.548336,0.294583
rule,sharp,vib_table,40-70,0.128963,0.185733,0.056770
rule,sharp,vib_table,70-100,0.165860,0.076806,-0.089055
rule,sharp,vib_table,100-125,0.009526,0.009587,0.000061
rule,sharp,vib_spindle,0-8,0.106931,0.381589,0.274657
rule,sharp,vib_spindle,8-20,0.299465,0.113868,-0.185597
rule,sharp,vib_spindle,20-40,0.143018,0.232414,0.089395
rule,sharp,vib_spindle,40-70,0.236568,0.121677,-0.114891
rule,sharp,vib_spindle,70-100,0.156027,0.070688,-0.085339
rule,sharp,vib_spindle,100-125,0.057991,0.079765,0.021774
rule,sharp,AE_table,0-8,0.066627,0.039689,-0.026938
rule,sharp,AE_table,8-20,0.356623,0.311214,-0.045410
rule,sharp,AE_table,20-40,0.223879,0.285828,0.061950
rule,sharp,AE_table,40-70,0.139254,0.180545,0.041292
rule,sharp,AE_table,70-100,0.166297,0.098364,-0.067933
rule,sharp,AE_table,100-125,0.047321,0.084360,0.037039
rule,sharp,AE_spindle,0-8,0.041541,0.031504,-0.010037
rule,sharp,AE_spindle,8-20,0.373351,0.237371,-0.135980
rule,sharp,AE_spindle,20-40,0.325461,0.459162,0.133701
rule,sharp,AE_spindle,40-70,0.131478,0.169660,0.038182
rule,sharp,AE_spindle,70-100,0.085430,0.056943,-0.028486
rule,sharp,AE_spindle,100-125,0.042739,0.045360,0.002621
rule,worn,smcAC,0-8,0.004151,0.013338,0.009188
rule,worn,smcAC,8-20,0.985060,0.969308,-0.015752
rule,worn,smcAC,20-40,0.003068,0.007623,0.004555
rule,worn,smcAC,40-70,0.002552,0.003092,0.000540
rule,worn,smcAC,70-100,0.002816,0.003298,0.000482
rule,worn,smcAC,100-125,0.002354,0.003341,0.000987
rule,worn,smcDC,0-8,0.927060,0.741979,-0.185082
rule,worn,smcDC,8-20,0.025119,0.105230,0.080111
rule,worn,smcDC,20-40,0.040522,0.148487,0.107965
rule,worn,smcDC,40-70,0.006290,0.002471,-0.003819
rule,worn,smcDC,70-100,0.000814,0.001126,0.000312
rule,worn,smcDC,100-125,0.000195,0.000708,0.000513
rule,worn,vib_table,0-8,0.052770,0.020682,-0.032088
rule,worn,vib_table,8-20,0.214616,0.276112,0.061495
rule,worn,vib_table,20-40,0.287798,0.408683,0.120885
rule,worn,vib_table,40-70,0.114899,0.106877,-0.008022
rule,worn,vib_table,70-100,0.317423,0.176782,-0.140641
rule,worn,vib_table,100-125,0.012494,0.010865,-0.001629
rule,worn,vib_spindle,0-8,0.110530,0.389111,0.278582
rule,worn,vib_spindle,8-20,0.229694,0.184004,-0.045690
rule,worn,vib_spindle,20-40,0.225050,0.156587,-0.068464
rule,worn,vib_spindle,40-70,0.220972,0.091544,-0.129429
rule,worn,vib_spindle,70-100,0.147118,0.079993,-0.067125
rule,worn,vib_spindle,100-125,0.066637,0.098762,0.032125
rule,worn,AE_table,0-8,0.105419,0.102507,-0.002912
rule,worn,AE_table,8-20,0.194408,0.254706,0.060297
rule,worn,AE_table,20-40,0.184379,0.215361,0.030982
rule,worn,AE_table,40-70,0.123423,0.155040,0.031617
rule,worn,AE_table,70-100,0.354388,0.226738,-0.127651
rule,worn,AE_table,100-125,0.037983,0.045649,0.007666
rule,worn,AE_spindle,0-8,0.164121,0.110512,-0.053609
rule,worn,AE_spindle,8-20,0.209481,0.196584,-0.012897
rule,worn,AE_spindle,20-40,0.213533,0.232112,0.018579
rule,worn,AE_spindle,40-70,0.117671,0.151568,0.033898
rule,worn,AE_spindle,70-100,0.260681,0.258534,-0.002147
rule,worn,AE_spindle,100-125,0.034514,0.050690,0.016176
rule,severe,smcAC,0-8,0.003696,0.008163,0.004467
rule,severe,smcAC,8-20,0.986361,0.976997,-0.009364
rule,severe,smcAC,20-40,0.002536,0.004433,0.001897
rule,severe,smcAC,40-70,0.002280,0.003331,0.001051
rule,severe,smcAC,70-100,0.002821,0.003774,0.000953
rule,severe,smcAC,100-125,0.002305,0.003302,0.000996
rule,severe,smcDC,0-8,0.909220,0.672094,-0.237126
rule,severe,smcDC,8-20,0.026629,0.080740,0.054111
rule,severe,smcDC,20-40,0.063954,0.242505,0.178551
rule,severe,smcDC,40-70,0.000137,0.002737,0.002600
rule,severe,smcDC,70-100,0.000038,0.001191,0.001153
rule,severe,smcDC,100-125,0.000022,0.000732,0.000711
rule,severe,vib_table,0-8,0.047298,0.018577,-0.028721
rule,severe,vib_table,8-20,0.309386,0.207149,-0.102237
rule,severe,vib_table,20-40,0.216909,0.303965,0.087056
rule,severe,vib_table,40-70,0.125918,0.209091,0.083174
rule,severe,vib_table,70-100,0.287301,0.244119,-0.043181
rule,severe,vib_table,100-125,0.013189,0.017098,0.003910
rule,severe,vib_spindle,0-8,0.210732,0.482662,0.271930
rule,severe,vib_spindle,8-20,0.200274,0.134620,-0.065654
rule,severe,vib_spindle,20-40,0.204689,0.110057,-0.094632
rule,severe,vib_spindle,40-70,0.178395,0.105597,-0.072797
rule,severe,vib_spindle,70-100,0.134462,0.076248,-0.058213
rule,severe,vib_spindle,100-125,0.071450,0.090816,0.019366
rule,severe,AE_table,0-8,0.124164,0.151739,0.027575
rule,severe,AE_table,8-20,0.171550,0.158352,-0.013198
rule,severe,AE_table,20-40,0.145076,0.226894,0.081817
rule,severe,AE_table,40-70,0.101338,0.150387,0.049049
rule,severe,AE_table,70-100,0.426352,0.263231,-0.163121
