n_real,metric,comparison,seeds,mean_delta,wins,p_raw,deltas,holm_q
5,acc,llm_full>rule,10,0.057210000000000004,10,0.0009765625,0.0882;0.0589;0.0392;0.0294;0.0360;0.0556;0.1112;0.0065;0.0915;0.0556,0.001953125
5,acc,llm_full>noise,10,0.11635999999999999,9,0.0029296875,0.1699;0.0033;0.2026;-0.0098;0.0327;0.1602;0.1602;0.1307;0.2321;0.0817,0.0029296875
5,macro_f1,llm_full>rule,10,0.059179999999999996,9,0.001953125,0.0854;0.0793;0.0324;0.0276;0.0291;0.0484;0.1428;0.0000;0.0870;0.0598,0.00390625
5,macro_f1,llm_full>noise,10,0.13178,9,0.0029296875,0.1732;0.0085;0.2131;-0.0092;0.0320;0.1658;0.2370;0.1706;0.2619;0.0649,0.00390625
10,acc,llm_full>rule,10,0.03168000000000001,8,0.01953125,0.0948;0.0196;0.0294;-0.0359;0.0294;0.0751;0.0522;0.0490;0.0032;0.0000,0.01953125
10,acc,llm_full>noise,10,0.05293000000000002,9,0.0068359375,0.0196;-0.0523;0.0948;0.0588;0.0360;0.1340;0.0130;0.0817;0.0719;0.0718,0.013671875
10,macro_f1,llm_full>rule,10,0.03209000000000002,7,0.0244140625,0.1040;0.0133;0.0280;-0.0302;0.0428;0.0647;0.0547;0.0487;-0.0046;-0.0005,0.0244140625
10,macro_f1,llm_full>noise,10,0.06056000000000002,9,0.0029296875,0.0131;-0.0190;0.0842;0.0724;0.0569;0.1231;0.0320;0.0800;0.0855;0.0774,0.005859375
25,acc,llm_full>rule,20,0.023849999999999993,17,0.0017539143471078846,0.0196;0.0457;0.0327;0.0425;0.0033;0.0000;0.0196;0.0327;0.0032;-0.0197;0.0229;0.0163;0.0687;0.0589;0.0621;0.0228;-0.0457;0.0457;0.0261;0.0196,0.0035078286942157692
25,acc,llm_full>noise,20,0.042315,13,0.0030920736469251383,0.0392;0.0098;-0.0098;0.1079;-0.0163;-0.0065;-0.0392;0.0196;0.0359;-0.0033;0.0392;0.1307;0.0687;0.0817;0.0784;0.1274;0.0588;0.1274;-0.0033;0.0000,0.0035078286942157692
25,macro_f1,llm_full>rule,20,0.023014999999999997,18,0.00029277801513671875,0.0273;0.0405;0.0324;0.0423;0.0159;0.0005;0.0154;0.0286;0.0098;-0.0120;0.0234;0.0210;0.0736;0.0373;0.0522;0.0084;-0.0361;0.0352;0.0283;0.0163,0.00029277801513671875
25,macro_f1,llm_full>noise,20,0.05363499999999999,17,1.811981201171875e-05,0.0378;0.0139;0.0084;0.1033;0.0042;-0.0010;-0.0046;0.0199;0.0781;0.0274;0.0373;0.1759;0.0535;0.1210;0.0960;0.1199;0.0625;0.1124;0.0091;-0.0023,3.62396240234375e-05
