method,class,channel,psd_w1,band_l1
llm,sharp,smcAC,0.399265,0.007554
llm,sharp,smcDC,1.836845,0.073078
llm,sharp,vib_table,5.277527,0.375259
llm,sharp,vib_spindle,5.494488,0.566456
llm,sharp,AE_table,4.274267,0.256218
llm,sharp,AE_spindle,4.636723,0.321693
llm,worn,smcAC,1.143888,0.023876
llm,worn,smcDC,2.184725,0.192153
llm,worn,vib_table,5.291561,0.255211
llm,worn,vib_spindle,7.078459,0.498432
llm,worn,AE_table,5.685133,0.233366
llm,worn,AE_spindle,2.609608,0.173555
llm,severe,smcAC,0.809610,0.012297
llm,severe,smcDC,2.465117,0.141897
llm,severe,vib_table,9.314433,0.404226
llm,severe,vib_spindle,8.955776,0.567258
llm,severe,AE_table,3.443205,0.201985
llm,severe,AE_spindle,2.639352,0.151796
rule,sharp,smcAC,0.353036,0.005991
rule,sharp,smcDC,2.389689,0.114011
rule,sharp,vib_table,5.885213,0.657336
rule,sharp,vib_spindle,8.585323,0.725638
rule,sharp,AE_table,4.059347,0.233682
rule,sharp,AE_spindle,2.996968,0.291811
rule,worn,smcAC,1.185617,0.031717
rule,worn,smcDC,5.951646,0.595368
rule,worn,vib_table,7.162039,0.342100
rule,worn,vib_spindle,11.658919,0.653047
rule,worn,AE_table,5.613393,0.243385
rule,worn,AE_spindle,3.320625,0.121864
rule,severe,smcAC,0.900835,0.015646
rule,severe,smcDC,6.170773,0.533705
rule,severe,vib_table,3.397850,0.275944
rule,severe,vib_spindle,9.732828,0.594273
rule,severe,AE_table,6.737880,0.305964
rule,severe,AE_spindle,2.522584,0.114964
random_open_loop,sharp,smcAC,2.972775,0.094618
random_open_loop,sharp,smcDC,5.057320,0.392314
random_open_loop,sharp,vib_table,1.780316,0.158073
random_open_loop,sharp,vib_spindle,8.110956,0.574669
random_open_loop,sharp,AE_table,3.782690,0.157184
random_open_loop,sharp,AE_spindle,0.892161,0.047383
random_open_loop,worn,smcAC,3.416101,0.100129
random_open_loop,worn,smcDC,7.372563,0.368784
random_open_loop,worn,vib_table,14.151077,0.567027
random_open_loop,worn,vib_spindle,10.465898,0.671194
random_open_loop,worn,AE_table,9.595482,0.389248
random_open_loop,worn,AE_spindle,4.494871,0.284127
random_open_loop,severe,smcAC,3.198949,0.098092
random_open_loop,severe,smcDC,6.947443,0.345874
random_open_loop,severe,vib_table,8.314655,0.363453
random_open_loop,severe,vib_spindle,9.871973,0.583049
random_open_loop,severe,AE_table,7.317962,0.422286
random_open_loop,severe,AE_spindle,4.713323,0.383735
noise_aug,sharp,smcAC,0.250294,0.014254
noise_aug,sharp,smcDC,12.392840,0.339099
noise_aug,sharp,vib_table,6.766333,0.227844
noise_aug,sharp,vib_spindle,1.450917,0.097265
noise_aug,sharp,AE_table,1.860538,0.054268
noise_aug,sharp,AE_spindle,1.406794,0.117071
noise_aug,worn,smcAC,0.246353,0.003949
noise_aug,worn,smcDC,5.374908,0.127861
noise_aug,worn,vib_table,1.815214,0.105217
noise_aug,worn,vib_spindle,3.662041,0.361132
noise_aug,worn,AE_table,1.114592,0.056560
noise_aug,worn,AE_spindle,1.358964,0.099438
noise_aug,severe,smcAC,0.142838,0.001308
noise_aug,severe,smcDC,23.728770,0.817796
noise_aug,severe,vib_table,8.426261,0.284764
noise_aug,severe,vib_spindle,3.376880,0.133435
noise_aug,severe,AE_table,1.950868,0.115955
noise_aug,severe,AE_spindle,3.007612,0.096936
