dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,lolo_load1,real_only,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2105,0.0870,"{""healthy"":0.0,""IR"":0.0,""B"":0.34782608695652173,""OR"":0.0}","[[0,0,236,0],[0,0,236,0],[0,0,236,0],[0,0,413,0]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,real_only,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.3211,0.1483,"{""healthy"":0.0,""IR"":0.11428571428571428,""B"":0.0,""OR"":0.4788732394366197}","[[0,0,0,236],[0,20,0,216],[0,21,0,215],[0,73,0,340]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,real_only,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.3060,0.2068,"{""healthy"":0.0,""IR"":0.4,""B"":0.06545454545454546,""OR"":0.3619344773790952}","[[0,236,0,0],[0,218,2,16],[0,131,9,96],[0,269,28,116]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,real_only,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2979,0.2139,"{""healthy"":0.0,""IR"":0.37711522965350525,""B"":0.16058394160583941,""OR"":0.31771894093686354}","[[0,236,0,0],[0,234,2,0],[0,214,22,0],[0,321,14,78]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,real_only,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2516,0.1627,"{""healthy"":0.0,""IR"":0.03571428571428571,""B"":0.42752867570385816,""OR"":0.1877444589308996}","[[0,0,0,236],[0,5,212,19],[0,4,205,27],[0,35,306,72]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,real_only,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2105,0.0870,"{""healthy"":0.0,""IR"":0.34782608695652173,""B"":0.0,""OR"":0.0}","[[0,236,0,0],[0,236,0,0],[0,236,0,0],[0,413,0,0]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,real_only,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2453,0.1385,"{""healthy"":0.0,""IR"":0.0,""B"":0.43308550185873607,""OR"":0.12103746397694524}","[[0,0,0,236],[0,0,236,0],[0,0,233,3],[0,0,371,42]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,real_only,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2096,0.0875,"{""healthy"":0.0,""IR"":0.0,""B"":0.34996276991809383,""OR"":0.0}","[[0,0,223,13],[0,0,236,0],[0,0,235,1],[0,0,413,0]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,real_only,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.3541,0.2622,"{""healthy"":0.0,""IR"":0.5590062111801242,""B"":0.4898419864559819,""OR"":0.0}","[[0,0,174,62],[0,180,56,0],[0,18,217,1],[0,210,203,0]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,real_only,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2105,0.0870,"{""healthy"":0.0,""IR"":0.34782608695652173,""B"":0.0,""OR"":0.0}","[[0,236,0,0],[0,236,0,0],[0,236,0,0],[0,413,0,0]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,real_only,5,10,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2105,0.0870,"{""healthy"":0.0,""IR"":0.34782608695652173,""B"":0.0,""OR"":0.0}","[[0,236,0,0],[0,236,0,0],[0,236,0,0],[0,413,0,0]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,real_only,5,11,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2105,0.1053,"{""healthy"":0.0,""IR"":0.0,""B"":0.42105263157894735,""OR"":0.0}","[[0,0,0,236],[0,0,236,0],[0,0,236,0],[0,0,413,0]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,real_only,5,12,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2079,0.0889,"{""healthy"":0.0,""IR"":0.0,""B"":0.34124629080118696,""OR"":0.014218009478672985}","[[0,0,236,0],[0,0,236,0],[0,0,230,6],[0,0,410,3]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,real_only,5,13,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2123,0.1159,"{""healthy"":0.0,""IR"":0.0,""B"":0.4085820895522388,""OR"":0.05483405483405483}","[[0,0,0,236],[0,0,228,8],[0,0,219,17],[0,5,389,19]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,real_only,5,14,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.3541,0.2119,"{""healthy"":0.0,""IR"":0.05737704918032787,""B"":0.2868686868686869,""OR"":0.5035516969218626}","[[0,0,0,236],[0,7,95,134],[0,0,71,165],[0,1,93,319]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,real_only,5,15,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.2284,0.1140,"{""healthy"":0.0,""IR"":0.0,""B"":0.3553530751708428,""OR"":0.10068649885583524}","[[0,0,236,0],[0,0,236,0],[0,0,234,2],[0,16,375,22]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,real_only,5,16,"{""0"":5,""1"":5,""2"":5,""3"":5}",0,0.1615,0.1387,"{""healthy"":0.0,""IR"":0.08732394366197183,""B"":0.22415940224159403,""OR"":0.2434077079107505}","[[0,236,0,0],[0,31,189,16],[0,142,90,4],[0,65,288,60]]","[""healthy"",""IR"",""B"",""OR""]"
