method,class,corr_fro_delta,energy_frac_l1,real_energy_json,method_energy_json
llm,sharp,1.334635,0.026536,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.050118658244542855,0.8994899883162006,0.04302120412024232,0.004481728344171672,0.0011037532440262916,0.00178593336502579]"
llm,worn,1.128506,0.012056,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.06568745692535255,0.9155108633569066,0.014288010283660658,0.0018187732175776025,0.001056196716413071,0.00157342110436851]"
llm,severe,1.099371,0.019134,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.07364498002198584,0.914592858639823,0.008913276868442375,0.0011001981052858913,0.000751869712106139,0.0010109460988757572]"
rule,sharp,0.342599,0.009961,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.05855005343759124,0.8916854341302444,0.04247995065692773,0.004445677126692336,0.001116360963666462,0.0017828714642203814]"
rule,worn,0.221805,0.012652,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.06119357147274685,0.920269446147521,0.014643698072330673,0.0018342099203567715,0.001079354457379263,0.0016086400055760725]"
rule,severe,0.311880,0.010053,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.061477296831401115,0.9263161357569766,0.008804690447987094,0.0011175548751361697,0.0007610341780176122,0.0010118698748131344]"
random_open_loop,sharp,1.464633,0.891907,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.3839668471576908,0.35502336457753414,0.05438662450448242,0.013101969723050645,0.006078111987669432,0.013107605554860463]"
random_open_loop,worn,1.270669,0.096788,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.07045302024463038,0.8535655295689316,0.010028085066202345,0.0009290278458980791,0.017258067500433922,0.010971390547632829]"
random_open_loop,severe,1.020756,0.029561,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.06153497040299179,0.9371267179910139,0.005969869656456888,0.0006634261891814595,0.005520692476069243,0.004077802381871145]"
noise_aug,sharp,0.217128,0.018958,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.05830505145514364,0.8969024564045249,0.03666590933449043,0.0041306812228739,0.0010829712869339396,0.0015061781819494463]"
noise_aug,worn,0.344357,0.014465,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.06433598020885886,0.9045320829310498,0.010379182504253492,0.0014903878950832347,0.0006068931115472488,0.0008276003723909687]"
noise_aug,severe,0.187675,0.009206,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.060854584183822585,0.9255831413019364,0.009269521519176692,0.001371405218524699,0.0008546770601656148,0.0011284563315762277]"
